arm,x86,score
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [sp, 0]
str r2, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [sp, 0]
ldr r1, [r1]
ldrb r0, [r0, r1]
ldr r1, [sp, 0]
cmp r0, r1
beq <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl ebx
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl 0(ebp), ecx
movl 0(ebp), esi
movl 0(esi), esi
movb 0(ecx,esi), bl
movzbl bl, ecx
cmpl 0(ebp), ecx
movl eax, 0(ebp)
movl edx, 0(ebp)
je <tag>
",1
"mvn r0, 0
str r0, [r11, 0]
b <tag>
","movl <tag>, 0(ebp)
jmp <tag>
",1
"ldr r0, [sp, 0]
ldr r1, [r0]
add r1, r1, 0
str r1, [r0]
ldr r0, [r11, 0]
ldr r1, [sp, 0]
bl foo
str r0, [r11, 0]
b <tag>
","movl 0(ebp), eax
movl 0(eax), ecx
addl 0, ecx
movl ecx, 0(eax)
movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
movl eax, 0(ebp)
",1
"ldr r0, [r11, 0]
mov sp, r11
pop {r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl esi
popl ebx
popl ebp
retl
",1
function:asn1_skip_obj,function:asn1_skip_obj,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [r11, 0]
str r2, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr r1, [r1]
ldrb r0, [r0, r1]
ldr r1, [sp, 0]
cmp r0, r1
beq <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl ebx
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl 0(ebp), ecx
movl 0(ebp), esi
movl 0(esi), esi
movb 0(ecx,esi), bl
movzbl bl, ecx
cmpl 0(ebp), ecx
movl eax, 0(ebp)
movl edx, 0(ebp)
je <tag>
",1
"mvn r0, 0
str r0, [r11, 0]
b <tag>
","movl <tag>, 0(ebp)
jmp <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r0]
add r1, r1, 0
str r1, [r0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
bl foo
str r0, [sp, 0]
ldr r0, [sp, 0]
ldr r1, [r11, 0]
ldr lr, [r1]
add r0, lr, r0
str r0, [r1]
mov r0, 0
str r0, [r11, 0]
b <tag>
","movl 0(ebp), eax
movl 0(eax), ecx
addl 0, ecx
movl ecx, 0(eax)
movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl 0(ebp), ecx
addl 0(ecx), eax
movl eax, 0(ecx)
movl 0, 0(ebp)
",1
"ldr r0, [r11, 0]
mov sp, r11
pop {r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl esi
popl ebx
popl ebp
retl
",1
function:asn1_get_int,function:asn1_get_int,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [r11, 0]
str r2, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
mov r2, 0
bl foo
str r0, [sp, 0]
cmn r0, 0
bgt <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl edi
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl 0(ebp), ecx
movl 0(ebp), esi
movl ecx, 0(esp)
movl esi, 0(esp)
movl 0, 0(esp)
movl eax, 0(ebp)
movl edx, 0(ebp)
calll foo
movl eax, 0(ebp)
cmpl 0, eax
jge <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [sp, 0]
cmp r0, 0
blt <tag>
b <tag>
","cmpl 0, 0(ebp)
jle <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr r1, [r1]
ldrb r0, [r0, r1]
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ecx), ecx
movb 0(eax,ecx), dl
movzbl dl, eax
cmpl 0, eax
jne <tag>
",1
"ldr r0, [sp, 0]
sub r0, r0, 0
str r0, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r0]
add r1, r1, 0
str r1, [r0]
b <tag>
","movl 0(ebp), eax
addl <tag>, eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl 0(eax), ecx
addl 0, ecx
movl ecx, 0(eax)
",1
"ldr r0, [sp, 0]
asr r1, r0, 0
bl foo
ldr r1, [sp, 0]
str r0, [r1]
ldr r0, [sp, 0]
ldr r0, [r0]
ldr r1, [r11, 0]
ldr lr, [r11, 0]
ldr lr, [lr]
add r1, r1, lr
ldr r2, [sp, 0]
bl foo
ldr r1, [sp, 0]
ldr r2, [r11, 0]
ldr lr, [r2]
add r1, lr, r1
str r1, [r2]
b <tag>
","movl 0(ebp), eax
movl eax, ecx
sarl 0, ecx
movl esp, edx
movl ecx, 0(edx)
movl eax, 0(edx)
calll foo
movl 0(ebp), ecx
movl eax, 0(ecx)
movl 0(ebp), eax
movl 0(eax), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl 0(edx), edx
addl edx, ecx
movl 0(ebp), edx
movl edx, esi
sarl 0, esi
movl esp, edi
movl edx, 0(edi)
movl ecx, 0(edi)
movl eax, 0(edi)
movl esi, 0(ebp)
calll foo
movl 0(ebp), ecx
movl 0(ebp), edx
addl 0(edx), ecx
movl ecx, 0(edx)
movl eax, 0(ebp)
",1
"ldr r0, [sp, 0]
mov sp, r11
pop {r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl esi
popl edi
popl ebp
retl
",1
function:asn1_get_private_key,function:asn1_get_private_key,
"push {r4, r5, r6, r7, r8, r9, r10, r11, lr}
add r11, sp, 0
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [r11, 0]
str r2, [r11, 0]
mov r0, 0
str r0, [r11, 0]
mov r0, 0
str r0, [r11, 0]
str r0, [r11, 0]
str r0, [r11, 0]
str r0, [r11, 0]
str r0, [r11, 0]
str r0, [r11, 0]
str r0, [r11, 0]
str r0, [sp, 0]
ldr r0, [r11, 0]
ldrb r0, [r0]
cmp r0, 0
beq <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl ebx
pushl edi
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0(ebp), esi
movzbl 0(esi), esi
cmpl 0, esi
movl eax, 0(ebp)
movl ecx, 0(ebp)
movl edx, 0(ebp)
je <tag>
",1
"ldr r0, <str>
bl foo
mvn lr, 0
str lr, [r11, 0]
b <tag>
","leal <tag>, eax
movl eax, 0(esp)
calll foo
movl <tag>, 0(ebp)
movl eax, 0(ebp)
jmp <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
bl foo
ldr r0, [r11, 0]
sub r1, r11, 0
sub r2, r11, 0
bl foo
str r0, [r11, 0]
ldr r0, [r11, 0]
sub r2, r11, 0
bl foo
str r0, [r11, 0]
ldr r0, [r11, 0]
sub r2, r11, 0
bl foo
str r0, [r11, 0]
ldr r0, [r11, 0]
cmp r0, 0
blt <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
cmpl 0, 0(ebp)
jle <tag>
",1
"ldr r0, [r11, 0]
cmp r0, 0
blt <tag>
b <tag>
","cmpl 0, 0(ebp)
jle <tag>
",1
"ldr r0, [r11, 0]
cmp r0, 0
bgt <tag>
b <tag>
","cmpl 0, 0(ebp)
jg <tag>
",1
"mvn r0, 0
str r0, [r11, 0]
b <tag>
","movl <tag>, 0(ebp)
jmp <tag>
",1
"ldr r0, [r11, 0]
sub r1, r11, 0
sub r2, r11, 0
bl foo
str r0, [sp, 0]
ldr r0, [r11, 0]
sub r2, r11, 0
bl foo
str r0, [sp, 0]
ldr r0, [r11, 0]
sub r2, r11, 0
bl foo
str r0, [sp, 0]
ldr r0, [r11, 0]
sub r2, r11, 0
bl foo
str r0, [sp, 0]
ldr r0, [r11, 0]
add r2, sp, 0
bl foo
str r0, [sp, 0]
ldr r0, [sp, 0]
cmp r0, 0
blt <tag>
b <tag>
","movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
movl eax, 0(ebp)
cmpl 0, 0(ebp)
jle <tag>
",1
"ldr r0, [sp, 0]
cmp r0, 0
blt <tag>
b <tag>
","cmpl 0, 0(ebp)
jle <tag>
",1
"ldr r0, [sp, 0]
cmp r0, 0
blt <tag>
b <tag>
","cmpl 0, 0(ebp)
jle <tag>
",1
"ldr r0, [sp, 0]
cmp r0, 0
blt <tag>
b <tag>
","cmpl 0, 0(ebp)
jle <tag>
",1
"ldr r0, [sp, 0]
cmp r0, 0
bgt <tag>
b <tag>
","cmpl 0, 0(ebp)
jg <tag>
",1
"mvn r0, 0
str r0, [r11, 0]
b <tag>
","movl <tag>, 0(ebp)
jmp <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr r2, [r11, 0]
ldr r3, [r11, 0]
ldr r12, [r11, 0]
ldr lr, [r11, 0]
ldr r4, [r11, 0]
ldr r5, [r11, 0]
ldr r6, [sp, 0]
ldr r7, [r11, 0]
ldr r8, [r11, 0]
ldr r9, [sp, 0]
ldr r10, [r11, 0]
ldr r0, [sp, 0]
ldr r0, [sp, 0]
ldr r0, [sp, 0]
mov r0, sp
str r0, [r1, 0]
str r0, [r1, 0]
str r0, [r1, 0]
str r10, [r1, 0]
str r9, [r1, 0]
str r8, [r1, 0]
str r6, [r1, 0]
str r7, [r1, 0]
str r6, [r1, 0]
str r5, [r1, 0]
str r4, [r1, 0]
str lr, [r1, 0]
str r12, [r1]
bl foo
ldr r0, [r11, 0]
bl foo
ldr r0, [r11, 0]
bl foo
ldr r0, [r11, 0]
bl foo
ldr r0, [r11, 0]
bl foo
ldr r0, [sp, 0]
bl foo
ldr r0, [r11, 0]
bl foo
ldr r0, [r11, 0]
bl foo
ldr r0, [r11, 0]
bl foo
mov r0, 0
str r0, [r11, 0]
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl 0(ebp), esi
movl 0(ebp), edi
movl 0(ebp), ebx
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl eax, 0(esp)
movl ecx, 0(esp)
movl edx, 0(esp)
movl esi, 0(esp)
movl edi, 0(esp)
movl ebx, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0(ebp), eax
movl eax, 0(esp)
calll foo
movl 0, 0(ebp)
",1
"ldr r0, [r11, 0]
sub sp, r11, 0
pop {r4, r5, r6, r7, r8, r9, r10, r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl esi
popl edi
popl ebx
popl ebp
retl
",1
function:asn1_version,function:asn1_version,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [r11, 0]
str r2, [sp, 0]
mvn r0, 0
str r0, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r0]
add r1, r1, 0
str r1, [r0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
mov r2, 0
bl foo
cmp r0, 0
beq <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl <tag>, 0(ebp)
movl 0(ebp), ecx
movl 0(ecx), esi
addl 0, esi
movl esi, 0(ecx)
movl 0(ebp), ecx
movl 0(ebp), esi
movl ecx, 0(esp)
movl esi, 0(esp)
movl 0, 0(esp)
movl eax, 0(ebp)
movl edx, 0(ebp)
calll foo
cmpl 0, eax
je <tag>
",1
"b <tag>
","jmp <tag>
",1
"mov r0, 0
str r0, [sp, 0]
b <tag>
","movl 0, 0(ebp)
",1
"ldr r0, [sp, 0]
mov sp, r11
pop {r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl esi
popl ebp
retl
",1
function:asn1_validity,function:asn1_validity,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [r11, 0]
str r2, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
mov r2, 0
bl foo
mov r1, 0
cmp r0, 0
blt <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl ebx
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl 0(ebp), ecx
movl 0(ebp), esi
movl ecx, 0(esp)
movl esi, 0(esp)
movl 0, 0(esp)
movl eax, 0(ebp)
movl edx, 0(ebp)
calll foo
cmpl 0, eax
movb 0, bl
movb bl, 0(ebp)
jl <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr r2, [sp, 0]
add r2, r2, 0
bl foo
mov r1, 0
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
addl 0, edx
movl eax, 0(esp)
movl ecx, 0(esp)
movl edx, 0(esp)
calll foo
cmpl 0, eax
movb 0, bl
movb bl, 0(ebp)
jne <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr r2, [sp, 0]
add r2, r2, 0
bl foo
cmp r0, 0
movne r0, 0
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
addl 0, edx
movl eax, 0(esp)
movl ecx, 0(esp)
movl edx, 0(esp)
calll foo
cmpl 0, eax
setne bl
movb bl, 0(ebp)
",1
"and r0, r0, 0
mov sp, r11
pop {r11, lr}
mov pc, lr
","movb 0(ebp), al
andb 0, al
movzbl al, eax
addl 0, esp
popl esi
popl ebx
popl ebp
retl
",1
function:asn1_get_utc_time,function:asn1_get_utc_time,
"push {r4, r10, r11, lr}
add r11, sp, 0
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [r11, 0]
str r2, [r11, 0]
mvn r0, 0
str r0, [r11, 0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr r2, [r1]
add r4, r2, 0
str r4, [r1]
ldrb r0, [r0, r2]
cmp r0, 0
beq <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl ebx
pushl edi
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl <tag>, 0(ebp)
movl 0(ebp), ecx
movl 0(ebp), esi
movl 0(esi), edi
movl edi, ebx
addl 0, ebx
movl ebx, 0(esi)
movb 0(ecx,edi), cl
movzbl cl, esi
cmpl 0, esi
movl eax, 0(ebp)
movl edx, 0(ebp)
je <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
bl foo
str r0, [r11, 0]
ldr r0, [r11, 0]
ldr r0, [r0]
str r0, [r11, 0]
add r0, sp, 0
mov r1, 0
mov r2, 0
bl foo
ldr r1, [r11, 0]
ldr r2, [r11, 0]
add lr, r1, r2
ldrb r1, [r1, r2]
add r1, r1, r1, lsl 0
ldrb r2, [lr, 0]
add r1, r2, r1, lsl 0
sub r1, r1, 0
str r1, [sp, 0]
ldr r1, [sp, 0]
cmp r1, 0
bgt <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl esp, edx
movl ecx, 0(edx)
movl eax, 0(edx)
calll foo
movl eax, 0(ebp)
movl 0(ebp), eax
movl 0(eax), eax
movl eax, 0(ebp)
xorps xmm0, xmm0
movaps xmm0, 0(ebp)
movaps xmm0, 0(ebp)
movaps xmm0, 0(ebp)
movl 0, 0(ebp)
movl 0, 0(ebp)
movl 0(ebp), eax
movl 0(ebp), ecx
movzbl 0(eax,ecx), edx
leal 0(edx,edx,4), edx
leal 0(edx,edx), edx
movb 0(eax,ecx), bl
movzbl bl, eax
subl 0, eax
addl eax, edx
movl edx, 0(ebp)
cmpl 0, 0(ebp)
jg <tag>
",1
"ldr r0, [sp, 0]
add r0, r0, 0
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
addl 0, eax
movl eax, 0(ebp)
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
add r0, r0, r1
ldrb r1, [r0, 0]
ldrb r0, [r0, 0]
add r1, r1, r1, lsl 0
add r0, r0, r1, lsl 0
mvn r1, 0
add r0, r0, r1
str r0, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
add r0, r0, r1
ldrb r1, [r0, 0]
ldrb r0, [r0, 0]
add r1, r1, r1, lsl 0
add r0, r0, r1, lsl 0
sub r0, r0, 0
str r0, [sp, 0]
add r0, sp, 0
bl foo
ldr lr, [r11, 0]
str r1, [lr, 0]
str r0, [lr]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
ldr lr, [r1]
add r0, lr, r0
str r0, [r1]
mov r0, 0
str r0, [r11, 0]
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movzbl 0(eax,ecx), edx
leal 0(edx,edx,4), edx
movzbl 0(eax,ecx), eax
leal 0(eax,edx,2), eax
movl eax, 0(ebp)
movl 0(ebp), eax
movl 0(ebp), ecx
movzbl 0(eax,ecx), edx
leal 0(edx,edx,4), edx
movzbl 0(eax,ecx), eax
leal 0(eax,edx,2), eax
movl eax, 0(ebp)
movl esp, eax
leal 0(ebp), ecx
movl ecx, 0(eax)
calll foo
movl 0(ebp), ecx
movl edx, 0(ecx)
movl eax, 0(ecx)
movl 0(ebp), eax
movl 0(ebp), ecx
addl 0(ecx), eax
movl eax, 0(ecx)
movl 0, 0(ebp)
",1
"ldr r0, [r11, 0]
sub sp, r11, 0
pop {r4, r10, r11, lr}
mov pc, lr
","movl 0(ebp), eax
addl 0, esp
popl esi
popl edi
popl ebx
popl ebp
retl
",1
function:asn1_name,function:asn1_name,
"push {r11, lr}
mov r11, sp
sub sp, sp, 0
mov r3, r2
mov r12, r1
mov lr, r0
str r0, [r11, 0]
str r1, [r11, 0]
str r2, [r11, 0]
mvn r0, 0
str r0, [r11, 0]
mov r0, 0
str r0, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
mov r2, 0
bl foo
cmn r0, 0
bgt <tag>
b <tag>
","pushl ebp
movl esp, ebp
pushl esi
subl 0, esp
movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl ecx, 0(ebp)
movl <tag>, 0(ebp)
movl 0, 0(ebp)
movl 0(ebp), ecx
movl 0(ebp), esi
movl ecx, 0(esp)
movl esi, 0(esp)
movl 0, 0(esp)
movl eax, 0(ebp)
movl edx, 0(ebp)
calll foo
cmpl 0, eax
jge <tag>
",1
"b <tag>
","jmp <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
mov r2, 0
bl foo
cmp r0, 0
blt <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
movl 0, 0(esp)
calll foo
cmpl 0, eax
jl <tag>
",1
"mov r0, 0
str r0, [sp, 0]
ldr r0, [r11, 0]
ldr r1, [r11, 0]
mov r2, 0
bl foo
cmp r0, 0
blt <tag>
b <tag>
","movl 0, 0(ebp)
movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
movl 0, 0(esp)
calll foo
cmpl 0, eax
jl <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
bl foo
str r0, [sp, 0]
cmn r0, 0
bgt <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
calll foo
movl eax, 0(ebp)
cmpl 0, eax
jge <tag>
",1
"b <tag>
","jmp <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [r11, 0]
add r2, sp, 0
bl foo
cmn r0, 0
bgt <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl eax, 0(esp)
movl ecx, 0(esp)
leal 0(ebp), eax
movl eax, 0(esp)
calll foo
cmpl 0, eax
jge <tag>
",1
"ldr r0, [sp, 0]
bl foo
b <tag>
","movl 0(ebp), eax
movl eax, 0(esp)
calll foo
jmp <tag>
",1
"mov r0, 0
str r0, [sp, 0]
b <tag>
","movl 0, 0(ebp)
",1
"ldr r0, [sp, 0]
cmp r0, 0
bgt <tag>
b <tag>
","cmpl 0, 0(ebp)
jge <tag>
",1
"ldr r0, [sp, 0]
ldr r1, [sp, 0]
ldr r2, <str>
ldrb r1, [r2, r1]
cmp r0, r1
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movb 0(ecx), dl
movzbl dl, ecx
cmpl ecx, eax
jne <tag>
",1
"ldr r0, [r11, 0]
ldr r1, [sp, 0]
ldr r0, [r0, r1, lsl 0]
cmp r0, 0
bne <tag>
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(eax,ecx,4), eax
cmpl 0, eax
jne <tag>
",1
"ldr r0, [sp, 0]
ldr r1, [r11, 0]
ldr r2, [sp, 0]
str r0, [r1, r2, lsl 0]
mov r0, 0
str r0, [sp, 0]
b <tag>
","movl 0(ebp), eax
movl 0(ebp), ecx
movl 0(ebp), edx
movl eax, 0(ecx,edx,4)
movl 0, 0(ebp)
jmp <tag>
",1
